movie_title,genres,tomatometer_rating
Percy Jackson & the Olympians: The Lightning Thief,Action & Adventure; Comedy; Drama; Science Fiction & Fantasy,49.0
Please Give,Comedy,87.0
10,Comedy; Romance,67.0
12 Angry Men (Twelve Angry Men),Classics; Drama,100.0
20;000 Leagues Under The Sea,Action & Adventure; Drama; Kids & Family,89.0
10;000 B.C.,Action & Adventure; Classics; Drama,8.0
The 39 Steps,Action & Adventure; Classics; Mystery & Suspense,96.0
3:10 to Yuma,Classics; Drama; Western,96.0
Charly (A Heartbeat Away),Comedy; Drama; Romance,20.0
Abraham Lincoln,Classics; Drama,82.0
Dark Water,Art House & International; Horror; Mystery & Suspense,80.0
The Accused,Drama; Mystery & Suspense,91.0
The Lost City,Drama,25.0
The Breaking Point,Drama,100.0
Adam's Rib,Classics; Comedy; Romance,96.0
The Bridge of San Luis Rey,Art House & International; Drama; Faith & Spirituality,4.0
The Prowler (Cost of Living ),Drama; Mystery & Suspense,100.0
Criminal,Drama; Mystery & Suspense,69.0
The Adventures of Mark Twain,Action & Adventure; Animation; Kids & Family,80.0
Deep Blue,Documentary; Special Interest,67.0
The Adventures of Robin Hood,Action & Adventure; Classics; Romance,100.0
Man Hunt,Classics; Drama; Mystery & Suspense,92.0
Dead End,Comedy; Horror; Mystery & Suspense,75.0
Bandwagon,Comedy,80.0
Whore,Art House & International; Drama,0.0
Tristan & Isolde,Drama; Science Fiction & Fantasy; Romance,31.0
Wild Side,Art House & International; Drama,63.0
A Tale of Two Pizzas,Comedy,38.0
Running Scared,Action & Adventure; Drama; Mystery & Suspense,41.0
Going the Distance,Comedy,0.0
Ultraviolet,Action & Adventure; Drama; Horror; Science Fiction & Fantasy,8.0
Home of the Brave,Action & Adventure; Documentary; Drama; Special Interest,93.0
Arthur and the Invisibles (Arthur and the Minimoys),Animation; Kids & Family; Science Fiction & Fantasy,22.0
Malevolence,Horror,33.0
Eternal,Horror; Mystery & Suspense,21.0
A Farewell To Arms,Classics; Drama; Romance,0.0
The Narrow Margin,Classics; Drama; Mystery & Suspense,100.0
The Matador,Action & Adventure; Comedy; Drama; Mystery & Suspense,75.0
Smile,Art House & International; Comedy; Drama,15.0
The Intruder (L'Intrus),Art House & International; Drama,87.0
Saint Ralph,Comedy; Drama,64.0
The Baxter,Comedy; Romance,32.0
Oliver Twist,Drama; Kids & Family,61.0
The Alamo,Action & Adventure; Classics; Drama; Western,52.0
G,Drama; Romance,24.0
Alexander the Great,Classics,0.0
Alfie,Classics; Comedy; Drama; Romance,96.0
Neverwas,Drama; Mystery & Suspense,14.0
The Second Chance,Drama; Faith & Spirituality,44.0
Moonlight,Drama; Mystery & Suspense,60.0
Aliens,Action & Adventure; Horror; Science Fiction & Fantasy,97.0
Rise: Blood Hunter,Horror; Mystery & Suspense,36.0
All About Eve,Classics; Drama,99.0
When Do We Eat?,Comedy,42.0
The Mostly Unfabulous Social Life of Ethan Green,Comedy; Drama,30.0
Dirty,Drama,21.0
Stay Alive,Horror; Mystery & Suspense,10.0
All of Me,Comedy; Science Fiction & Fantasy,85.0
All Quiet on the Western Front,Drama,100.0
Dreamland,Art House & International; Drama,67.0
Independent Lens,Documentary; Special Interest,84.0
All the King's Men,Classics; Drama,95.0
Street Fight,Documentary; Special Interest,100.0
Lost Horizon,Action & Adventure; Drama; Musical & Performing Arts; Science Fiction & Fantasy,20.0
The Motel,Comedy; Drama,88.0
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Documentary; Sports & Fitness,81.0
Requiem,Art House & International; Drama; Horror; Mystery & Suspense,86.0
Gui si (Silk),Art House & International; Horror; Mystery & Suspense,40.0
Park,Art House & International; Comedy; Drama,36.0
The 4th Dimension,Drama; Science Fiction & Fantasy,63.0
Bon Cop; Bad Cop,Action & Adventure; Comedy,78.0
Amazing Grace,Drama; Mystery & Suspense,67.0
The Silence,Action & Adventure; Drama; Mystery & Suspense; Television,50.0
Cocaine Cowboys,Documentary,69.0
Gone,Horror; Mystery & Suspense,54.0
The Situation,Drama; Mystery & Suspense,35.0
Snow Blind,Documentary; Sports & Fitness,20.0
Four Sheets to the Wind,Art House & International; Drama,100.0
The Tiger's Tail,Comedy; Drama; Mystery & Suspense,14.0
It's a Boy Girl Thing,Comedy; Romance,67.0
Slipstream,Art House & International; Comedy; Drama; Science Fiction & Fantasy,25.0
Delirious,Comedy; Drama,83.0
Interview,Art House & International; Drama,58.0
